codigo,descripcion,unidad,precio_unitario,categoria,subcategoria,fuente,fecha_fuente,unidad_inferida,tipo_registro
9cd2cb87,AISLAMIENTO FIBRA DE VIDRIO DE 2 ESP. 0.61X15.20 ML,ml,682.5,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
09164e69,"AISLAMIENTO FIBRA DE VIDRIO DE 3"" ESP. 0.61X15.20 ML",ml,576.0,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
15c5e049,ANCLA PARA LAMINA ENGARGOLADA,pza,18.1,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
106b5062,"AZULEJO 3D WALL, BLADE BLUE, RECTIFICADO, MATE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
cd3076f8,"AZULEJO 3D WALL, BLADE SOLID WHITE, RECTIFICADO, MATE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
d49c4ee9,"AZULEJO 3D WALL, DIAMOND NIGHT MATTE, RECTIFICADO, MATE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
9c5eed61,"AZULEJO 3D WALL, DIAMOND SOLID WHITE, RECTIFICADO, MATE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
8e19a00c,"AZULEJO 3D WALL, STARS YELLOW, RECTIFICADO, MATE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
c0e60aef,"AZULEJO 3D WALL, WAVE GLOSSY, RECTIFICADO, BRILLANTE, 40 CM X 80 CM",pza,961.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
03450e3b,"AZULEJO ADORE, FLAME, RECTIFICADO, ESMALTADO, ETT BAJO, 30.5 CM X 56 CM",pza,1031.24,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
a28901f4,"AZULEJO AQUARELLE, EARTH ORANGE, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
16eeb8f4,"AZULEJO AQUARELLE, LIGHT GREEN, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
53b76421,"AZULEJO AQUARELLE, NAPLES IVORY, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
fc96de7f,"AZULEJO AQUARELLE, SHADOW GRAY, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
1093ca99,"AZULEJO AQUARELLE, SIENNA BROWN, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
ecc36f87,"AZULEJO AQUARELLE, SKY BLUE, ETT MODERADO, 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
117d9800,"AZULEJO ASTRATTO, BLANCO, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,161.24,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
8ecd0e2b,"AZULEJO ASTRATTO, BLANCO, ESMALTADO, ETT BAJO, 20 CM X 30 CM",pza,218.2,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
682b44f1,"AZULEJO BERNA, BEIGE, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,196.04,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
679f6490,"AZULEJO BERNA, BROWN, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,196.04,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
de5b2291,"AZULEJO BERNA, ROMBO, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,242.44,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
351bbb83,"AZULEJO BROOKLYN, BLANCO, RECTIFICADO, MATE, ETT ALTO, 25 CM X 50 CM",pza,230.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
c682fc3e,"AZULEJO BROOKLYN, ROJO, RECTIFICADO, MATE, ETT ALTO, 25 CM X 50 CM",pza,230.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
8e9f7e21,"AZULEJO BRUNEI, BEIGE, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
8c5e698c,"AZULEJO BRUNEI, BIANCO, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
b26d7da6,"AZULEJO BRUNEI, GRAY, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
6ad0dd13,"AZULEJO BRUNEI, IVORY, ESMALTADO, ETT ALTO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
dbbe81cb,"AZULEJO CAPRI, BIANCO, ESMALTADO, ETT BAJO. 25 CM X 50 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
7e5b585a,"AZULEJO CLASS, AMARILLO, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,230.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
7a509ac4,"AZULEJO CLASS, AZUL, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,230.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
f346f4ee,"AZULEJO CLASS, BLANCO, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,230.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
3c11d07a,"AZULEJO COLOURS, GREEN KIWI, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
bd60e316,"AZULEJO COLOURS, ORANGE SUNSET, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
5655ccaa,"AZULEJO COLOURS, YELLOW MANGO, ESMALTADO, ETT BAJO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
1188f0f0,"AZULEJO COSTA DEL SOL, CANARIA, ESMLATADO, ETT MODERADO, 25 CM X 40 CM",pza,149.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
df2980b7,"AZULEJO COSTA DEL SOL, IBIZA, ESMLATADO, ETT MODERADO, 25 CM X 40 CM",pza,149.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
14079ef5,"AZULEJO CREMA MARFIL SELECTO, BEIGE, ESMALTADO, ETT ALTO, 26 CM X 76 CM",pza,335.24,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
338b83c7,"AZULEJO CREMA MARFIL SELECTO, BEIGE, RECTIFICADO, ESMALTADO, ETT ALTO, 26 CM X 76 CM",pza,451.24,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
da86c856,"AZULEJO CREMA MARFIL SELECTO, HEXA STRUCTURED, ESMALTADO, ETT ALTO, 26 CM X 76 CM",pza,381.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
d63b2717,"AZULEJO CREMA MARFIL SELECTO, LINEAR DARK STRUCTURED, ESMALTADO, ETT ALTO, 26 CM X 76 CM",pza,381.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
15e5d957,"AZULEJO CREMA MARFIL SELECTO, LINEAR LIGH STRUCTURED, ESMALTADO, ETT ALTO, 26 CM X 76 CM",pza,381.64,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
5e53a89e,"AZULEJO CREMA MARFIL, CLARO, ESMALTADO, ETT MODERADO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
abc2e48c,"AZULEJO CREMA MARFIL, NATURAL, ESMALTADO, ETT MODERADO, 25 CM X 40 CM",pza,156.6,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
469a5177,"AZULEJO DENIM, CANVAS, RECTIFICADO, ESMALTADO, ETT MODERADO, 30 CM X 60 CM",pza,404.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
20c0cd7d,"AZULEJO DENIM, GRAPHITE, ESMALTADO, ETT MODERADO, 31 CM X 61 CM",pza,288.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
2e9276cf,"AZULEJO DENIM, GRAPHITE, RECTIFICADO, ESMALTADO, ETT MODERADO, 31 CM X 61 CM",pza,404.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
1173035f,"AZULEJO DENIM, SAGE, ESMALTADO, ETT MODERADO, 31 CM X 61 CM",pza,288.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
5f88e300,"AZULEJO DENIM, SAGE, RECTIFICADO, ESMALTADO, ETT MODERADO, 30 CM X 60 CM",pza,404.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
3bce064f,"AZULEJO DESERT, CADIR, ESMALTADO, ETT MODERADO, 20 CM X 30 CM",pza,114.84,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
3ccf6e9e,"AZULEJO DOTS, AQUA, ESMALTDO, ETT MODERADO, 20 CM X 20 CM",pza,254.04,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
207f84a8,"AZULEJO DOTS, AVIO, ESMALTDO, ETT MODERADO, 20 CM X 20 CM",pza,254.04,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
7815f5fa,"AZULEJO DOTS, BIANCO, ESMALTDO, ETT MODERADO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
f927a0f7,"AZULEJO DOTS, CIELO, ESMALTDO, ETT MODERADO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
44d06985,"AZULEJO DOTS, LATTE, ESMALTDO, ETT MODERADO, 20 CM X 20 CM",pza,254.06,Acabados,NO ELÉCTRICO,Insumos_APUCMX,2025-05-16,True,material
